"SYMBOL  
","QUOTATION VALUE 
","UPDATED DATE 
","SESSION 1 * SPOT PRICE (IN RS.) 
","SESSION 2 * SPOT PRICE (IN RS.) 
","POLLED INFORMATION 
"
"GOLDM","10 Grams","08-DEC-2025","1,28,226.00","1,28,003.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_08122025_2.xlsx"
"GOLDM","10 Grams","05-DEC-2025","1,28,156.00","1,28,178.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_05122025_2.xlsx"
"GOLDM","10 Grams","04-DEC-2025","1,27,230.00","1,27,365.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_04122025_2.xlsx"
"GOLDM","10 Grams","03-DEC-2025","1,28,081.00","1,27,750.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_03122025_2.xlsx"
"GOLDM","10 Grams","02-DEC-2025","1,27,865.00","1,27,036.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_02122025_2.xlsx"
"GOLDM","10 Grams","01-DEC-2025","1,28,322.00","1,28,697.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_01122025_2.xlsx"
"GOLDM","10 Grams","28-NOV-2025","1,26,216.00","1,26,179.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_28112025_2.xlsx"
"GOLDM","10 Grams","27-NOV-2025","1,25,406.00","1,25,506.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_27112025_2.xlsx"
"GOLDM","10 Grams","26-NOV-2025","1,25,523.00","1,25,699.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_26112025_2.xlsx"
"GOLDM","10 Grams","25-NOV-2025","1,24,952.00","1,24,622.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_25112025_2.xlsx"
"GOLDM","10 Grams","24-NOV-2025","1,22,493.00","1,22,955.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_24112025_2.xlsx"
"GOLDM","10 Grams","21-NOV-2025","1,21,724.00","1,22,535.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_21112025_2.xlsx"
"GOLDM","10 Grams","20-NOV-2025","1,22,430.00","1,22,193.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_20112025_2.xlsx"
"GOLDM","10 Grams","19-NOV-2025","1,22,906.00","1,23,517.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_19112025_2.xlsx"
"GOLDM","10 Grams","18-NOV-2025","1,20,853.00","1,21,565.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_18112025_2.xlsx"
"GOLDM","10 Grams","17-NOV-2025","1,22,282.00","1,22,865.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_17112025_2.xlsx"
"GOLDM","10 Grams","14-NOV-2025","1,25,163.00","1,24,693.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_14112025_2.xlsx"
"GOLDM","10 Grams","13-NOV-2025","1,25,710.00","1,26,673.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_13112025_2.xlsx"
"GOLDM","10 Grams","12-NOV-2025","1,23,017.00","1,23,378.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_12112025_2.xlsx"
"GOLDM","10 Grams","11-NOV-2025","1,23,770.00","1,23,760.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_11112025_2.xlsx"
"GOLDM","10 Grams","10-NOV-2025","1,21,617.00","1,21,914.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_10112025_2.xlsx"
"GOLDM","10 Grams","07-NOV-2025","1,19,912.00","1,19,977.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_07112025_2.xlsx"
"GOLDM","10 Grams","06-NOV-2025","1,19,682.00","1,20,247.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_06112025_2.xlsx"
"GOLDM","10 Grams","04-NOV-2025","1,19,458.00","1,19,992.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_04112025_2.xlsx"
"GOLDM","10 Grams","03-NOV-2025","1,20,732.00","1,20,184.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_03112025_2.xlsx"
"GOLDM","10 Grams","31-OCT-2025","1,20,466.00","1,20,477.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_31102025_2.xlsx"
"GOLDM","10 Grams","30-OCT-2025","1,18,925.00","1,19,798.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_30102025_2.xlsx"
"GOLDM","10 Grams","29-OCT-2025","1,18,989.00","1,20,368.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_29102025_2.xlsx"
"GOLDM","10 Grams","28-OCT-2025","1,18,651.00","1,17,293.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_28102025_2.xlsx"
"GOLDM","10 Grams","27-OCT-2025","1,21,956.00","1,21,110.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_27102025_2.xlsx"
"GOLDM","10 Grams","24-OCT-2025","1,27,071.00","1,27,071.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_24102025_2.xlsx"
"GOLDM","10 Grams","23-OCT-2025","1,27,071.00","1,27,071.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_23102025_2.xlsx"
"GOLDM","10 Grams","20-OCT-2025","1,26,664.00","1,27,071.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_20102025_2.xlsx"
"GOLDM","10 Grams","17-OCT-2025","1,30,386.00","1,29,927.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_17102025_2.xlsx"
"GOLDM","10 Grams","16-OCT-2025","1,26,788.00","1,26,938.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_16102025_2.xlsx"
"GOLDM","10 Grams","15-OCT-2025","1,26,325.00","1,26,453.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_15102025_2.xlsx"
"GOLDM","10 Grams","14-OCT-2025","1,24,916.00","1,25,703.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_14102025_2.xlsx"
"GOLDM","10 Grams","13-OCT-2025","1,23,364.00","1,23,475.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_13102025_2.xlsx"
"GOLDM","10 Grams","10-OCT-2025","1,20,349.00","1,21,049.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_10102025_2.xlsx"
"GOLDM","10 Grams","09-OCT-2025","1,22,069.00","1,22,216.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_09102025_2.xlsx"
"GOLDM","10 Grams","08-OCT-2025","1,21,346.00","1,21,868.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_08102025_2.xlsx"
"GOLDM","10 Grams","07-OCT-2025","1,19,471.00","1,19,432.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_07102025_2.xlsx"
"GOLDM","10 Grams","06-OCT-2025","1,18,513.00","1,18,796.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_06102025_2.xlsx"
"GOLDM","10 Grams","03-OCT-2025","1,16,388.00","1,16,491.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_03102025_2.xlsx"
"GOLDM","10 Grams","01-OCT-2025","1,16,178.00","1,16,976.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_01102025_2.xlsx"
"GOLDM","10 Grams","30-SEP-2025","1,16,422.00","1,14,762.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_30092025_2.xlsx"
"GOLDM","10 Grams","29-SEP-2025","1,14,865.00","1,14,868.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_29092025_2.xlsx"
"GOLDM","10 Grams","26-SEP-2025","1,12,995.00","1,12,911.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_26092025_2.xlsx"
"GOLDM","10 Grams","25-SEP-2025","1,12,808.00","1,13,050.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_25092025_2.xlsx"
"GOLDM","10 Grams","24-SEP-2025","1,13,568.00","1,13,202.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_24092025_2.xlsx"
"GOLDM","10 Grams","23-SEP-2025","1,12,978.00","1,13,880.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_23092025_2.xlsx"
"GOLDM","10 Grams","22-SEP-2025","1,10,812.00","1,11,663.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_22092025_2.xlsx"
"GOLDM","10 Grams","19-SEP-2025","1,09,460.00","1,09,439.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_19092025_2.xlsx"
"GOLDM","10 Grams","18-SEP-2025","1,08,857.00","1,09,742.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_18092025_2.xlsx"
"GOLDM","10 Grams","17-SEP-2025","1,09,578.00","1,09,337.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_17092025_2.xlsx"
"GOLDM","10 Grams","16-SEP-2025","1,10,128.00","1,10,502.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_16092025_2.xlsx"
"GOLDM","10 Grams","15-SEP-2025","1,09,175.00","1,09,083.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_15092025_2.xlsx"
"GOLDM","10 Grams","12-SEP-2025","1,09,446.00","1,09,411.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_12092025_2.xlsx"
